"date","value","section","grouping","sort","units","grade","level_achieved","unit_category","is_original","original_value","original_units","conversion_note"
1997,291,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
1997,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
1997,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1997,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1997,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1997,0.013,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
1997,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1997,NA,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1997,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1998,5479,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
1998,9,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
1998,0.952,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
1998,NA,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1998,329,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
1998,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
1998,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1998,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1998,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1998,0.008,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
1998,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1998,NA,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1998,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1999,5939,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
1999,10,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
1999,0.955,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
1999,0.967,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1999,387,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
1999,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
1999,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1999,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1999,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1999,0.003,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
1999,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1999,0.079,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
1999,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2000,6186,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2000,11,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2000,0.955,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2000,0.895,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2000,377,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2000,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2000,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2000,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2000,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2000,0.006,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2000,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2000,0.032,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2000,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2001,6446,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2001,11,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2001,0.96,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2001,0.887,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2001,455,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2001,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2001,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2001,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2001,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2001,0.005,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2001,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2001,0.04,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2001,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2002,6427,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2002,11,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2002,0.956,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2002,0.93,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2002,490,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2002,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2002,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2002,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2002,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2002,0.004,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2002,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2002,0.01,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2002,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2003,6697,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2003,11,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2003,0.959,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2003,0.899,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2003,467,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2003,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2003,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2003,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2003,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2003,0.005,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2003,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2003,0.02,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2003,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2004,7235,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2004,12,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2004,0.958,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2004,0.924,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2004,534,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2004,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2004,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2004,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2004,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2004,0,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2004,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2004,0.017,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2004,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2005,7612,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2005,12,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2005,0.96,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2005,0.933,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2005,519,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2005,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2005,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2005,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2005,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2005,0,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2005,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2005,0.011,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2005,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2006,8380,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2006,13,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2006,0.961,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2006,0.921,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2006,557,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2006,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2006,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2006,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2006,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2006,0,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2006,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2006,0.012,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2006,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2007,9470,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2007,13,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2007,0.965,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2007,0.9,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2007,572,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2007,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2007,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2007,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2007,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2007,0.002,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2007,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2007,0.046,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2007,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2008,10335,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2008,13,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2008,0.963,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2008,0.905,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2008,706,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2008,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2008,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2008,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2008,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2008,0,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2008,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2008,0.034,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2008,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2009,11127,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2009,14,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2009,0.962,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2009,0.869,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2009,708,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2009,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2009,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2009,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2009,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2009,0,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2009,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2009,0.046,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2009,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2010,11682,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2010,15,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2010,0.962,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2010,0.917,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2010,848,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2010,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2010,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2010,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2010,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2010,0,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2010,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2010,0.034,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2010,NA,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2011,12389,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2011,15,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2011,0.959,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2011,0.934,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2011,865,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2011,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2011,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2011,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2011,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2011,0,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2011,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2011,0.042,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2011,0.96,"District_Perform","Exit-Level Cumulative Pass Rate","DP13","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2012,13014,"District_Perform","Total Students in District","DP01","count","All",NA,"count_score",FALSE,NA,NA,NA
2012,15,"District_Perform","Total Number of Schools","DP02","count","All",NA,"count_score",FALSE,NA,NA,NA
2012,0.96,"District_Perform","Attendance Rate","DP03","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2012,0.943,"District_Perform","Completion Rate","DP04","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2012,882,"District_Perform","Annual Graduate Count","DP05","count","All",NA,"count_score",FALSE,NA,NA,NA
2012,NA,"District_Perform","Annual RHSP-DAP-FHSP-E-FHSP-DLA Graduate Count","DP06","count","All",NA,"count_score",FALSE,NA,NA,NA
2012,NA,"District_Perform","4-Year Longitudinal Graduation Rate","DP07","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2012,NA,"District_Perform","5-Year Longitudinal Graduation Rate","DP08","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2012,NA,"District_Perform","6-Year Longitudinal Graduation Rate","DP09","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2012,0,"District_Perform","Annual Dropout Rate","DP10","rate","All",NA,"rate_percent",TRUE,NA,NA,NA
2012,NA,"District_Perform","Annual Dropout Rate Gr 9-12","DP11","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
2012,0.028,"District_Perform","Four-year Dropout Rate","DP12","rate","All",NA,"rate_percent",FALSE,NA,NA,NA
